1|5|5|0,0,1,S,0,0,1,1;0,1,10,T,0,1,2,5;0,4,5,T,0,4,1,5;1,0,4,T,1,0,1,4;4,3,5,T,0,3,1,5
2|5|5|0,4,10,T,0,3,2,5;1,0,2,T,0,0,1,2;1,1,4,S,0,1,2,2;2,2,3,W,2,0,3,1;3,2,3,W,3,0,3,1;4,2,3,W,4,0,3,1
3|5|5|0,1,2,W,0,1,2,1;0,3,10,T,0,3,2,5;1,2,3,T,1,2,1,3;3,0,4,T,0,0,1,4;3,1,3,T,1,1,1,3;4,2,3,W,4,0,3,1
4|5|5|0,0,2,T,0,0,1,2;0,4,8,W,0,1,4,2;2,0,1,S,2,0,1,1;2,4,4,W,2,1,4,1;4,0,2,T,3,0,1,2;4,1,2,T,3,1,1,2;4,4,6,W,3,2,3,2
5|5|5|0,0,2,T,0,0,1,2;0,3,3,T,0,3,1,3;0,4,5,T,0,4,1,5;3,2,8,T,0,1,2,4;3,3,2,T,3,3,1,2;4,0,3,T,2,0,1,3;4,2,2,W,4,1,2,1
6|5|5|0,4,3,T,0,4,1,3;1,0,6,W,0,0,3,2;2,2,3,W,2,0,3,1;2,3,3,T,0,3,1,3;3,2,3,W,3,0,3,1;3,4,2,W,3,3,2,1;4,2,3,W,4,0,3,1;4,4,2,W,4,3,2,1
7|6|6|0,0,6,T,0,0,1,6;0,1,6,T,0,1,1,6;0,2,5,T,0,2,1,5;0,4,5,T,0,4,1,5;4,3,5,T,0,3,1,5;4,5,5,T,0,5,1,5;5,5,4,W,5,2,4,1
8|6|6|0,0,4,T,0,0,1,4;0,1,3,T,0,1,1,3;0,3,3,W,0,3,3,1;1,5,15,T,1,3,3,5;2,2,3,T,0,2,1,3;3,2,2,W,3,1,2,1;4,0,2,T,4,0,1,2;4,2,4,S,4,1,2,2
9|6|6|0,0,5,T,0,0,1,5;0,4,2,W,0,3,2,1;0,5,6,T,0,5,1,6;1,2,4,S,0,1,2,2;2,2,2,W,2,1,2,1;3,1,4,S,3,1,2,2;5,0,3,W,5,0,3,1;5,3,10,T,1,3,2,5
10|6|6|0,0,2,T,0,0,1,2;0,4,3,T,0,4,1,3;1,1,6,W,0,1,3,2;2,0,1,S,2,0,1,1;2,1,3,W,2,1,3,1;2,5,3,T,0,5,1,3;5,2,9,S,3,0,3,3;5,3,3,T,3,3,1,3;5,5,6,T,3,4,2,3
11|6|6|0,2,6,W,0,0,3,2;0,3,15,T,0,3,3,5;2,0,2,W,2,0,2,1;3,0,2,W,3,0,2,1;3,2,2,T,2,2,1,2;4,0,2,W,4,0,2,1;4,2,2,T,4,2,1,2;5,0,2,W,5,0,2,1;5,3,3,W,5,3,3,1
12|6|6|0,1,6,T,0,0,2,3;0,4,1,S,0,4,1,1;0,5,1,S,0,5,1,1;1,5,3,T,1,5,1,3;2,3,6,T,0,2,2,3;3,3,4,W,3,0,4,1;3,4,3,T,1,4,1,3;4,1,2,W,4,0,2,1;4,2,4,W,4,2,4,1;5,0,6,W,5,0,6,1
13|7|7|0,2,6,T,0,2,1,6;0,3,9,S,0,3,3,3;0,6,2,T,0,6,1,2;2,6,5,T,2,6,1,5;3,3,6,W,3,3,3,2;6,0,7,T,0,0,1,7;6,1,7,T,0,1,1,7;6,2,1,S,6,2,1,1;6,3,6,W,5,3,3,2
14|7|7|0,2,6,W,0,0,3,2;0,3,4,S,0,3,2,2;1,6,4,S,0,5,2,2;2,0,6,W,2,0,6,1;2,6,1,S,2,6,1,1;3,0,14,W,3,0,7,2;5,4,5,W,5,0,5,1;5,6,2,W,5,5,2,1;6,0,3,W,6,0,3,1;6,3,4,W,6,3,4,1
15|7|7|0,5,2,T,0,5,1,2;0,6,6,T,0,6,1,6;1,0,6,W,0,0,3,2;2,1,8,T,2,0,2,4;2,2,4,T,2,2,1,4;6,2,3,W,6,0,3,1;6,3,7,T,0,3,1,7;6,4,7,T,0,4,1,7;6,5,5,T,2,5,1,5;6,6,1,S,6,6,1,1
16|7|7|0,0,3,T,0,0,1,3;0,2,1,S,0,2,1,1;0,6,4,W,0,3,4,1;1,3,12,T,1,3,2,6;1,5,2,T,1,5,1,2;5,1,6,T,0,1,1,6;6,0,4,T,3,0,1,4;6,1,1,S,6,1,1,1;6,2,6,T,1,2,1,6;6,5,4,T,3,5,1,4;6,6,6,T,1,6,1,6
17|7|7|0,0,2,T,0,0,1,2;0,1,4,S,0,1,2,2;1,4,4,S,0,3,2,2;2,0,5,T,2,0,1,5;2,3,5,T,2,3,1,5;2,4,5,T,2,4,1,5;3,1,4,S,2,1,2,2;4,5,5,T,0,5,1,5;4,6,5,T,0,6,1,5;5,5,4,S,5,5,2,2;6,2,6,T,4,1,2,3
18|7|7|0,0,4,S,0,0,2,2;0,6,5,W,0,2,5,1;1,2,2,T,1,2,1,2;2,0,8,T,2,0,2,4;2,3,4,S,1,3,2,2;2,5,4,S,1,5,2,2;3,3,8,T,3,3,2,4;3,6,2,W,3,5,2,1;6,1,2,W,6,0,2,1;6,2,4,T,3,2,1,4;6,5,3,T,4,5,1,3;6,6,3,T,4,6,1,3
19|8|8|0,6,7,W,0,0,7,1;0,7,1,S,0,7,1,1;1,7,8,W,1,0,8,1;2,1,2,W,2,0,2,1;2,7,6,W,2,2,6,1;3,5,6,W,3,3,3,2;4,0,6,W,3,0,3,2;5,0,6,W,5,0,6,1;6,0,6,W,6,0,6,1;7,0,6,W,7,0,6,1;7,6,10,T,3,6,2,5
20|8|8|0,6,12,T,0,5,2,6;0,7,1,S,0,7,1,1;1,7,7,T,1,7,1,7;2,0,6,T,0,0,2,3;2,4,9,S,0,2,3,3;3,1,6,T,3,0,2,3;3,4,6,W,3,2,3,2;5,4,3,W,5,2,3,1;6,0,5,W,6,0,5,1;6,5,1,S,6,5,1,1;6,6,2,T,6,6,1,2;7,5,6,W,7,0,6,1
21|8|8|0,0,5,W,0,0,5,1;0,5,3,W,0,5,3,1;1,0,6,T,1,0,1,6;1,1,6,T,1,1,1,6;1,3,2,W,1,2,2,1;1,4,2,T,1,4,1,2;1,5,6,W,1,5,3,2;2,2,10,T,2,2,2,5;4,7,8,W,3,4,4,2;6,4,8,W,5,4,4,2;7,2,3,W,7,0,3,1;7,7,5,W,7,3,5,1
22|8|8|0,3,4,S,0,3,2,2;0,6,8,T,0,5,2,4;0,7,7,T,0,7,1,7;1,0,6,W,0,0,3,2;2,0,1,S,2,0,1,1;2,4,6,T,2,4,1,6;5,3,8,T,2,2,2,4;5,5,4,S,4,5,2,2;6,6,4,S,6,5,2,2;7,0,5,T,3,0,1,5;7,1,6,T,2,1,1,6;7,3,4,S,6,2,2,2;7,7,1,S,7,7,1,1
23|8|8|0,0,5,T,0,0,1,5;0,3,16,T,0,3,2,8;0,5,1,S,0,5,1,1;0,6,7,T,0,6,1,7;0,7,8,T,0,7,1,8;1,5,1,S,1,5,1,1;2,5,6,T,2,5,1,6;4,1,5,T,0,1,1,5;5,1,3,T,5,1,1,3;5,2,6,T,0,2,1,6;7,0,3,T,5,0,1,3;7,2,2,T,6,2,1,2;7,6,1,S,7,6,1,1
24|8|8|0,0,4,W,0,0,4,1;0,4,1,S,0,4,1,1;0,5,3,W,0,5,3,1;1,6,2,W,1,5,2,1;1,7,2,T,1,7,1,2;3,5,2,T,2,5,1,2;3,6,2,T,2,6,1,2;5,0,5,T,1,0,1,5;5,3,15,T,1,1,3,5;5,4,5,T,1,4,1,5;6,0,10,W,6,0,5,2;7,5,4,T,4,5,1,4;7,6,4,T,4,6,1,4;7,7,5,T,3,7,1,5
25|9|9|0,6,3,W,0,4,3,1;0,7,10,T,0,7,2,5;1,0,8,W,0,0,4,2;2,0,4,W,2,0,4,1;3,0,2,T,3,0,1,2;4,3,6,W,3,1,3,2;4,4,12,T,1,4,3,4;5,4,12,T,5,4,3,4;5,8,8,T,5,7,2,4;6,3,6,W,5,1,3,2;7,0,3,T,5,0,1,3;7,3,3,W,7,1,3,1;8,3,4,W,8,0,4,1
26|9|9|0,1,3,T,0,1,1,3;1,2,6,W,0,2,3,2;2,4,9,S,2,2,3,3;3,1,3,T,3,1,1,3;4,5,5,T,0,5,1,5;4,6,5,T,0,6,1,5;4,7,5,T,0,7,1,5;4,8,5,T,0,8,1,5;5,0,6,T,0,0,1,6;5,8,4,T,5,8,1,4;6,1,6,T,6,0,2,3;7,7,15,W,5,3,5,3;8,2,4,T,5,2,1,4;8,3,5,W,8,3,5,1
27|9|9|0,3,18,T,0,3,3,6;0,7,4,T,0,7,1,4;0,8,4,T,0,8,1,4;1,2,6,W,0,0,3,2;2,0,6,W,2,0,3,2;4,2,6,W,4,0,3,2;4,8,2,W,4,7,2,1;5,6,6,T,0,6,1,6;5,8,2,W,5,7,2,1;6,0,8,W,6,0,4,2;6,7,9,S,6,5,3,3;7,4,2,T,6,4,1,2;8,0,5,W,8,0,5,1;8,8,3,T,6,8,1,3
28|9|9|0,1,3,W,0,1,3,1;0,4,5,W,0,4,5,1;1,0,2,T,0,0,1,2;1,1,5,W,1,1,5,1;1,6,2,W,1,6,2,1;1,8,1,S,1,8,1,1;2,1,8,W,2,1,4,2;3,7,6,W,2,5,3,2;3,8,2,T,2,8,1,2;4,1,4,T,4,1,1,4;4,2,7,W,4,2,7,1;7,0,6,T,2,0,1,6;7,2,21,W,5,2,7,3;8,5,6,W,8,0,6,1;8,6,3,W,8,6,3,1
29|9|9|0,5,6,W,0,0,6,1;0,8,3,W,0,6,3,1;1,0,18,W,1,0,9,2;3,0,9,W,3,0,9,1;4,0,1,S,4,0,1,1;4,1,6,W,4,1,6,1;4,7,2,W,4,7,2,1;5,3,6,W,5,3,6,1;6,0,6,W,5,0,3,2;6,3,2,W,6,3,2,1;6,8,4,W,6,5,4,1;7,4,5,W,7,0,5,1;7,8,4,W,7,5,4,1;8,0,7,W,8,0,7,1;8,7,2,W,8,7,2,1
30|9|9|0,2,3,W,0,0,3,1;0,4,2,W,0,3,2,1;0,5,4,W,0,5,4,1;1,0,3,W,1,0,3,1;1,3,21,T,1,3,3,7;2,1,4,T,2,1,1,4;2,2,5,T,2,2,1,5;3,0,2,T,2,0,1,2;6,0,3,T,4,0,1,3;6,1,1,S,6,1,1,1;7,0,3,W,7,0,3,1;7,7,14,T,1,6,2,7;7,8,7,T,1,8,1,7;8,2,3,W,8,0,3,1;8,3,1,S,8,3,1,1;8,4,5,W,8,4,5,1
31|10|10|0,2,6,T,0,2,1,6;0,4,9,S,0,4,3,3;0,9,3,W,0,7,3,1;1,7,6,W,1,7,3,2;3,3,4,T,0,3,1,4;3,7,4,W,3,4,4,1;3,8,14,T,3,8,2,7;4,3,6,T,4,3,1,6;5,0,12,T,0,0,2,6;5,4,2,T,4,4,1,2;5,5,6,W,4,5,3,2;6,0,3,W,6,0,3,1;6,7,4,W,6,4,4,1;7,0,3,T,7,0,1,3;7,5,6,T,7,4,2,3;7,6,6,T,7,6,2,3;9,1,6,T,7,1,2,3
32|10|10|0,0,7,T,0,0,1,7;0,5,7,T,0,5,1,7;0,8,5,T,0,8,1,5;0,9,2,T,0,9,1,2;2,9,6,T,2,9,1,6;3,4,4,T,0,4,1,4;4,7,5,T,0,7,1,5;5,7,6,T,5,7,2,3;6,1,7,T,0,1,1,7;6,2,7,T,0,2,1,7;6,3,7,T,0,3,1,7;6,4,3,T,4,4,1,3;6,6,7,T,0,6,1,7;7,2,3,W,7,0,3,1;7,6,4,W,7,3,4,1;8,6,14,W,8,0,7,2;9,7,4,S,8,7,2,2;9,9,2,T,8,9,1,2
